cancer_classification,YEAR,Age_Group,M,F,TOTAL
Eye (C69),1969,N20_24,1,1,2
Eye (C69),1969,N25_29,1,0,1
Eye (C69),1969,N30_34,0,0,0
Eye (C69),1969,N35_39,1,1,2
Eye (C69),1969,N40_44,4,2,6
Eye (C69),1969,N45_49,2,5,7
Eye (C69),1969,N50_54,4,2,6
Eye (C69),1969,N55_59,9,6,15
Eye (C69),1969,N60_64,10,6,16
Eye (C69),1969,N65_69,13,9,22
Eye (C69),1969,N70_74,5,3,8
Eye (C69),1969,N75_79,4,3,7
Eye (C69),1969,N80_84,1,3,4
Eye (C69),1969,N85+,0,1,1
Eye (C69),1969,N_UNK,0,0,0
Eye (C69),1970,N0_4,6,2,8
Eye (C69),1970,N5_9,2,1,3
Eye (C69),1970,N10_14,0,0,0
Eye (C69),1970,N15_19,0,0,0
Eye (C69),1970,N20_24,0,0,0
Eye (C69),1970,N25_29,1,0,1
Eye (C69),1970,N30_34,1,0,1
Eye (C69),1970,N35_39,1,2,3
Eye (C69),1970,N40_44,2,1,3
Eye (C69),1970,N45_49,3,1,4
Eye (C69),1970,N50_54,2,2,4
Eye (C69),1970,N55_59,13,8,21
Eye (C69),1970,N60_64,9,9,18
Eye (C69),1970,N65_69,5,5,10
Eye (C69),1970,N70_74,11,11,22
Eye (C69),1970,N75_79,4,3,7
Eye (C69),1970,N80_84,2,4,6
Eye (C69),1970,N85+,5,4,9
Eye (C69),1970,N_UNK,0,0,0
Eye (C69),1971,N0_4,21,21,42
Eye (C69),1971,N5_9,1,2,3
Eye (C69),1971,N10_14,0,3,3
Eye (C69),1971,N15_19,0,0,0
Eye (C69),1971,N20_24,6,2,8
Eye (C69),1971,N25_29,5,2,7
Eye (C69),1971,N30_34,7,3,10
Eye (C69),1971,N35_39,3,5,8
Eye (C69),1971,N40_44,12,10,22
Eye (C69),1971,N45_49,13,18,31
Eye (C69),1971,N50_54,20,13,33
Eye (C69),1971,N55_59,32,25,57
Eye (C69),1971,N60_64,37,27,64
Eye (C69),1971,N65_69,29,25,54
Eye (C69),1971,N70_74,32,18,50
Eye (C69),1971,N75_79,3,17,20
Eye (C69),1971,N80_84,7,8,15
Eye (C69),1971,N85+,3,7,10
Eye (C69),1971,N_UNK,0,0,0
Eye (C69),1972,N0_4,24,19,43
Eye (C69),1972,N5_9,1,0,1
Eye (C69),1972,N10_14,0,0,0
Eye (C69),1972,N15_19,1,0,1
Eye (C69),1972,N20_24,1,0,1
Eye (C69),1972,N25_29,4,2,6
Eye (C69),1972,N30_34,1,8,9
Eye (C69),1972,N35_39,7,7,14
Eye (C69),1972,N40_44,7,4,11
Eye (C69),1972,N45_49,13,17,30
Eye (C69),1972,N50_54,20,19,39
Eye (C69),1972,N55_59,23,11,34
Eye (C69),1972,N60_64,23,24,47
Eye (C69),1972,N65_69,28,24,52
Eye (C69),1972,N70_74,21,25,46
Eye (C69),1972,N75_79,16,18,34
Eye (C69),1972,N80_84,5,12,17
Eye (C69),1972,N85+,3,9,12
Eye (C69),1972,N_UNK,0,0,0
Eye (C69),1973,N0_4,23,35,58
Eye (C69),1973,N5_9,1,1,2
Eye (C69),1973,N10_14,1,2,3
Eye (C69),1973,N15_19,0,2,2
Eye (C69),1973,N20_24,5,1,6
Eye (C69),1973,N25_29,3,2,5
Eye (C69),1973,N30_34,6,1,7
Eye (C69),1973,N35_39,5,2,7
Eye (C69),1973,N40_44,10,15,25
Eye (C69),1973,N45_49,23,17,40
Eye (C69),1973,N50_54,29,24,53
Eye (C69),1973,N55_59,22,19,41
Eye (C69),1973,N60_64,30,23,53
Eye (C69),1973,N65_69,31,32,63
Eye (C69),1973,N70_74,20,26,46
Eye (C69),1973,N75_79,15,20,35
Eye (C69),1973,N80_84,7,13,20
Eye (C69),1973,N85+,5,6,11
Eye (C69),1973,N_UNK,0,0,0
Eye (C69),1974,N0_4,25,20,45
Eye (C69),1974,N5_9,1,1,2
Eye (C69),1974,N10_14,1,3,4
Eye (C69),1974,N15_19,0,1,1
Eye (C69),1974,N20_24,3,1,4
Eye (C69),1974,N25_29,2,4,6
Eye (C69),1974,N30_34,6,3,9
Eye (C69),1974,N35_39,1,6,7
Eye (C69),1974,N40_44,10,6,16
Eye (C69),1974,N45_49,15,17,32
Eye (C69),1974,N50_54,20,20,40
Eye (C69),1974,N55_59,22,21,43
Eye (C69),1974,N60_64,37,34,71
Eye (C69),1974,N65_69,28,23,51
Eye (C69),1974,N70_74,27,16,43
Eye (C69),1974,N75_79,15,22,37
Eye (C69),1974,N80_84,5,11,16
Eye (C69),1974,N85+,1,11,12
Eye (C69),1974,N_UNK,0,0,0
Eye (C69),1975,N0_4,27,17,44
Eye (C69),1975,N5_9,2,2,4
Eye (C69),1975,N10_14,2,0,2
Eye (C69),1975,N15_19,3,2,5
Eye (C69),1975,N20_24,4,1,5
Eye (C69),1975,N25_29,4,5,9
Eye (C69),1975,N30_34,2,3,5
Eye (C69),1975,N35_39,7,8,15
Eye (C69),1975,N40_44,12,5,17
Eye (C69),1975,N45_49,9,15,24
Eye (C69),1975,N50_54,13,19,32
Eye (C69),1975,N55_59,24,23,47
Eye (C69),1975,N60_64,29,28,57
Eye (C69),1975,N65_69,29,25,54
Eye (C69),1975,N70_74,27,18,45
Eye (C69),1975,N75_79,17,29,46
Eye (C69),1975,N80_84,2,12,14
Eye (C69),1975,N85+,1,3,4
Eye (C69),1975,N_UNK,0,0,0
Eye (C69),1976,N0_4,24,28,52
Eye (C69),1976,N5_9,5,3,8
Eye (C69),1976,N10_14,2,1,3
Eye (C69),1976,N15_19,2,0,2
Eye (C69),1976,N20_24,2,1,3
Eye (C69),1976,N25_29,4,6,10
Eye (C69),1976,N30_34,3,6,9
Eye (C69),1976,N35_39,5,5,10
Eye (C69),1976,N40_44,10,6,16
Eye (C69),1976,N45_49,15,9,24
Eye (C69),1976,N50_54,16,22,38
Eye (C69),1976,N55_59,29,22,51
Eye (C69),1976,N60_64,38,21,59
Eye (C69),1976,N65_69,36,29,65
Eye (C69),1976,N70_74,26,18,44
Eye (C69),1976,N75_79,13,20,33
Eye (C69),1976,N80_84,12,11,23
Eye (C69),1976,N85+,2,5,7
Eye (C69),1976,N_UNK,0,0,0
Eye (C69),1977,N0_4,18,20,38
Eye (C69),1977,N5_9,3,1,4
Eye (C69),1977,N10_14,2,2,4
Eye (C69),1977,N15_19,1,3,4
Eye (C69),1977,N20_24,1,3,4
Eye (C69),1977,N25_29,1,4,5
Eye (C69),1977,N30_34,3,6,9
Eye (C69),1977,N35_39,8,13,21
Eye (C69),1977,N40_44,10,9,19
Eye (C69),1977,N45_49,14,8,22
Eye (C69),1977,N50_54,25,12,37
Eye (C69),1977,N55_59,22,18,40
Eye (C69),1977,N60_64,36,23,59
Eye (C69),1977,N65_69,45,22,67
Eye (C69),1977,N70_74,26,26,52
Eye (C69),1977,N75_79,25,13,38
Eye (C69),1977,N80_84,9,9,18
Eye (C69),1977,N85+,6,10,16
Eye (C69),1977,N_UNK,0,0,0
Eye (C69),1978,N0_4,15,17,32
Eye (C69),1978,N5_9,3,4,7
Eye (C69),1978,N10_14,2,1,3
Eye (C69),1978,N15_19,1,1,2
Eye (C69),1978,N20_24,2,3,5
Eye (C69),1978,N25_29,2,7,9
Eye (C69),1978,N30_34,2,4,6
Eye (C69),1978,N35_39,7,10,17
Eye (C69),1978,N40_44,9,6,15
Eye (C69),1978,N45_49,17,11,28
Eye (C69),1978,N50_54,23,19,42
Eye (C69),1978,N55_59,31,20,51
Eye (C69),1978,N60_64,28,22,50
Eye (C69),1978,N65_69,48,28,76
Eye (C69),1978,N70_74,41,29,70
Eye (C69),1978,N75_79,20,25,45
Eye (C69),1978,N80_84,10,15,25
Eye (C69),1978,N85+,5,8,13
Eye (C69),1978,N_UNK,0,0,0
Eye (C69),1979,N0_4,20,14,34
Eye (C69),1979,N5_9,4,2,6
Eye (C69),1979,N10_14,2,0,2
Eye (C69),1979,N15_19,1,2,3
Eye (C69),1979,N20_24,2,3,5
Eye (C69),1979,N25_29,5,5,10
Eye (C69),1979,N30_34,6,6,12
Eye (C69),1979,N35_39,10,5,15
Eye (C69),1979,N40_44,12,8,20
Eye (C69),1979,N45_49,16,16,32
Eye (C69),1979,N50_54,20,14,34
Eye (C69),1979,N55_59,26,30,56
Eye (C69),1979,N60_64,43,24,67
Eye (C69),1979,N65_69,34,39,73
Eye (C69),1979,N70_74,32,23,55
Eye (C69),1979,N75_79,21,22,43
Eye (C69),1979,N80_84,7,13,20
Eye (C69),1979,N85+,4,7,11
Eye (C69),1979,N_UNK,0,0,0
Eye (C69),1980,N0_4,20,21,41
Eye (C69),1980,N5_9,1,1,2
Eye (C69),1980,N10_14,2,4,6
Eye (C69),1980,N15_19,0,0,0
Eye (C69),1980,N20_24,4,3,7
Eye (C69),1980,N25_29,4,4,8
Eye (C69),1980,N30_34,8,9,17
Eye (C69),1980,N35_39,5,7,12
Eye (C69),1980,N40_44,15,7,22
Eye (C69),1980,N45_49,17,13,30
Eye (C69),1980,N50_54,29,20,49
Eye (C69),1980,N55_59,28,25,53
Eye (C69),1980,N60_64,31,25,56
Eye (C69),1980,N65_69,28,34,62
Eye (C69),1980,N70_74,26,27,53
Eye (C69),1980,N75_79,16,19,35
Eye (C69),1980,N80_84,14,13,27
Eye (C69),1980,N85+,3,14,17
Eye (C69),1980,N_UNK,0,0,0
Eye (C69),1981,N0_4,22,13,35
Eye (C69),1981,N5_9,1,1,2
Eye (C69),1981,N10_14,0,4,4
Eye (C69),1981,N15_19,1,0,1
Eye (C69),1981,N20_24,1,3,4
Eye (C69),1981,N25_29,3,3,6
Eye (C69),1981,N30_34,8,11,19
Eye (C69),1981,N35_39,8,9,17
Eye (C69),1981,N40_44,10,10,20
Eye (C69),1981,N45_49,19,13,32
Eye (C69),1981,N50_54,27,18,45
Eye (C69),1981,N55_59,34,21,55
Eye (C69),1981,N60_64,29,27,56
Eye (C69),1981,N65_69,43,41,84
Eye (C69),1981,N70_74,37,37,74
Eye (C69),1981,N75_79,26,29,55
Eye (C69),1981,N80_84,7,12,19
Eye (C69),1981,N85+,7,10,17
Eye (C69),1981,N_UNK,0,0,0
Eye (C69),1982,N0_4,18,25,43
Eye (C69),1982,N5_9,3,1,4
Eye (C69),1982,N10_14,2,1,3
Eye (C69),1982,N15_19,1,1,2
Eye (C69),1982,N20_24,2,5,7
Eye (C69),1982,N25_29,2,7,9
Eye (C69),1982,N30_34,9,7,16
Eye (C69),1982,N35_39,6,8,14
Eye (C69),1982,N40_44,11,9,20
Eye (C69),1982,N45_49,12,21,33
Eye (C69),1982,N50_54,18,18,36
Eye (C69),1982,N55_59,32,24,56
Eye (C69),1982,N60_64,38,31,69
Eye (C69),1982,N65_69,19,31,50
Eye (C69),1982,N70_74,38,32,70
Eye (C69),1982,N75_79,24,25,49
Eye (C69),1982,N80_84,11,16,27
Eye (C69),1982,N85+,2,10,12
Eye (C69),1982,N_UNK,0,0,0
Eye (C69),1983,N0_4,34,30,64
Eye (C69),1983,N5_9,3,3,6
Eye (C69),1983,N10_14,0,1,1
Eye (C69),1983,N15_19,3,2,5
Eye (C69),1983,N20_24,5,5,10
Eye (C69),1983,N25_29,2,3,5
Eye (C69),1983,N30_34,11,6,17
Eye (C69),1983,N35_39,11,11,22
Eye (C69),1983,N40_44,14,13,27
Eye (C69),1983,N45_49,23,20,43
Eye (C69),1983,N50_54,34,22,56
Eye (C69),1983,N55_59,38,37,75
Eye (C69),1983,N60_64,46,49,95
Eye (C69),1983,N65_69,48,28,76
Eye (C69),1983,N70_74,33,38,71
Eye (C69),1983,N75_79,22,40,62
Eye (C69),1983,N80_84,11,27,38
Eye (C69),1983,N85+,4,17,21
Eye (C69),1983,N_UNK,0,0,0
Eye (C69),1984,N0_4,26,24,50
Eye (C69),1984,N5_9,3,4,7
Eye (C69),1984,N10_14,1,1,2
Eye (C69),1984,N15_19,3,4,7
Eye (C69),1984,N20_24,4,5,9
Eye (C69),1984,N25_29,5,7,12
Eye (C69),1984,N30_34,6,5,11
Eye (C69),1984,N35_39,12,11,23
Eye (C69),1984,N40_44,16,15,31
Eye (C69),1984,N45_49,18,23,41
Eye (C69),1984,N50_54,27,28,55
Eye (C69),1984,N55_59,37,24,61
Eye (C69),1984,N60_64,56,49,105
Eye (C69),1984,N65_69,40,45,85
Eye (C69),1984,N70_74,46,42,88
Eye (C69),1984,N75_79,27,29,56
Eye (C69),1984,N80_84,28,15,43
Eye (C69),1984,N85+,7,14,21
Eye (C69),1984,N_UNK,0,0,0
Eye (C69),1985,N0_4,33,22,55
Eye (C69),1985,N5_9,2,6,8
Eye (C69),1985,N10_14,0,0,0
Eye (C69),1985,N15_19,3,0,3
Eye (C69),1985,N20_24,5,1,6
Eye (C69),1985,N25_29,9,7,16
Eye (C69),1985,N30_34,7,7,14
Eye (C69),1985,N35_39,15,11,26
Eye (C69),1985,N40_44,18,13,31
Eye (C69),1985,N45_49,18,27,45
Eye (C69),1985,N50_54,33,25,58
Eye (C69),1985,N55_59,40,39,79
Eye (C69),1985,N60_64,50,44,94
Eye (C69),1985,N65_69,29,36,65
Eye (C69),1985,N70_74,45,43,88
Eye (C69),1985,N75_79,31,41,72
Eye (C69),1985,N80_84,10,23,33
Eye (C69),1985,N85+,6,8,14
Eye (C69),1985,N_UNK,0,0,0
Eye (C69),1986,N0_4,24,26,50
Eye (C69),1986,N5_9,4,3,7
Eye (C69),1986,N10_14,2,0,2
Eye (C69),1986,N15_19,1,1,2
Eye (C69),1986,N20_24,4,2,6
Eye (C69),1986,N25_29,6,2,8
Eye (C69),1986,N30_34,14,9,23
Eye (C69),1986,N35_39,19,16,35
Eye (C69),1986,N40_44,19,14,33
Eye (C69),1986,N45_49,32,14,46
Eye (C69),1986,N50_54,34,33,67
Eye (C69),1986,N55_59,43,48,91
Eye (C69),1986,N60_64,62,51,113
Eye (C69),1986,N65_69,45,23,68
Eye (C69),1986,N70_74,43,42,85
Eye (C69),1986,N75_79,37,43,80
Eye (C69),1986,N80_84,14,24,38
Eye (C69),1986,N85+,10,13,23
Eye (C69),1986,N_UNK,0,0,0
Eye (C69),1987,N0_4,42,34,76
Eye (C69),1987,N5_9,1,2,3
Eye (C69),1987,N10_14,2,4,6
Eye (C69),1987,N15_19,2,0,2
Eye (C69),1987,N20_24,6,1,7
Eye (C69),1987,N25_29,2,5,7
Eye (C69),1987,N30_34,5,4,9
Eye (C69),1987,N35_39,9,11,20
Eye (C69),1987,N40_44,16,23,39
Eye (C69),1987,N45_49,16,18,34
Eye (C69),1987,N50_54,31,37,68
Eye (C69),1987,N55_59,50,35,85
Eye (C69),1987,N60_64,42,53,95
Eye (C69),1987,N65_69,49,59,108
Eye (C69),1987,N70_74,40,51,91
Eye (C69),1987,N75_79,34,39,73
Eye (C69),1987,N80_84,18,22,40
Eye (C69),1987,N85+,10,26,36
Eye (C69),1987,N_UNK,0,0,0
Eye (C69),1988,N0_4,30,39,69
Eye (C69),1988,N5_9,7,3,10
Eye (C69),1988,N10_14,0,1,1
Eye (C69),1988,N15_19,1,3,4
Eye (C69),1988,N20_24,4,7,11
Eye (C69),1988,N25_29,8,10,18
Eye (C69),1988,N30_34,9,16,25
Eye (C69),1988,N35_39,14,13,27
Eye (C69),1988,N40_44,21,18,39
Eye (C69),1988,N45_49,21,23,44
Eye (C69),1988,N50_54,49,36,85
Eye (C69),1988,N55_59,54,33,87
Eye (C69),1988,N60_64,73,48,121
Eye (C69),1988,N65_69,69,52,121
Eye (C69),1988,N70_74,47,37,84
Eye (C69),1988,N75_79,50,47,97
Eye (C69),1988,N80_84,22,36,58
Eye (C69),1988,N85+,8,24,32
Eye (C69),1988,N_UNK,0,0,0
Eye (C69),1989,N0_4,51,37,88
Eye (C69),1989,N5_9,6,2,8
Eye (C69),1989,N10_14,3,3,6
Eye (C69),1989,N15_19,2,2,4
Eye (C69),1989,N20_24,6,4,10
Eye (C69),1989,N25_29,9,8,17
Eye (C69),1989,N30_34,10,9,19
Eye (C69),1989,N35_39,28,19,47
Eye (C69),1989,N40_44,22,26,48
Eye (C69),1989,N45_49,33,32,65
Eye (C69),1989,N50_54,49,39,88
Eye (C69),1989,N55_59,43,50,93
Eye (C69),1989,N60_64,70,71,141
Eye (C69),1989,N65_69,67,74,141
Eye (C69),1989,N70_74,58,47,105
Eye (C69),1989,N75_79,57,65,122
Eye (C69),1989,N80_84,35,35,70
Eye (C69),1989,N85+,10,25,35
Eye (C69),1989,N_UNK,0,0,0
Eye (C69),1990,N0_4,37,39,76
Eye (C69),1990,N5_9,6,5,11
Eye (C69),1990,N10_14,1,1,2
Eye (C69),1990,N15_19,2,3,5
Eye (C69),1990,N20_24,1,3,4
Eye (C69),1990,N25_29,11,4,15
Eye (C69),1990,N30_34,10,10,20
Eye (C69),1990,N35_39,22,23,45
Eye (C69),1990,N40_44,39,33,72
Eye (C69),1990,N45_49,33,37,70
Eye (C69),1990,N50_54,54,40,94
Eye (C69),1990,N55_59,62,67,129
Eye (C69),1990,N60_64,57,68,125
Eye (C69),1990,N65_69,74,67,141
Eye (C69),1990,N70_74,69,69,138
Eye (C69),1990,N75_79,41,57,98
Eye (C69),1990,N80_84,32,44,76
Eye (C69),1990,N85+,14,33,47
Eye (C69),1990,N_UNK,2,0,2
Eye (C69),1991,N0_4,54,50,104
Eye (C69),1991,N5_9,8,4,12
Eye (C69),1991,N10_14,4,2,6
Eye (C69),1991,N15_19,2,0,2
Eye (C69),1991,N20_24,8,2,10
Eye (C69),1991,N25_29,11,7,18
Eye (C69),1991,N30_34,12,10,22
Eye (C69),1991,N35_39,17,16,33
Eye (C69),1991,N40_44,28,26,54
Eye (C69),1991,N45_49,39,40,79
Eye (C69),1991,N50_54,48,39,87
Eye (C69),1991,N55_59,67,53,120
Eye (C69),1991,N60_64,85,67,152
Eye (C69),1991,N65_69,73,69,142
Eye (C69),1991,N70_74,61,61,122
Eye (C69),1991,N75_79,53,48,101
Eye (C69),1991,N80_84,29,32,61
Eye (C69),1991,N85+,10,30,40
Eye (C69),1991,N_UNK,0,0,0
Eye (C69),1992,N0_4,44,42,86
Eye (C69),1992,N5_9,4,6,10
Eye (C69),1992,N10_14,6,1,7
Eye (C69),1992,N15_19,1,0,1
Eye (C69),1992,N20_24,9,7,16
Eye (C69),1992,N25_29,12,8,20
Eye (C69),1992,N30_34,16,14,30
Eye (C69),1992,N35_39,18,14,32
Eye (C69),1992,N40_44,33,23,56
Eye (C69),1992,N45_49,36,30,66
Eye (C69),1992,N50_54,36,38,74
Eye (C69),1992,N55_59,57,59,116
Eye (C69),1992,N60_64,65,56,121
Eye (C69),1992,N65_69,72,82,154
Eye (C69),1992,N70_74,70,69,139
Eye (C69),1992,N75_79,43,66,109
Eye (C69),1992,N80_84,40,36,76
Eye (C69),1992,N85+,14,21,35
Eye (C69),1992,N_UNK,0,0,0
Eye (C69),1993,N0_4,54,53,107
Eye (C69),1993,N5_9,9,8,17
Eye (C69),1993,N10_14,1,2,3
Eye (C69),1993,N15_19,3,2,5
Eye (C69),1993,N20_24,2,7,9
Eye (C69),1993,N25_29,9,4,13
Eye (C69),1993,N30_34,7,14,21
Eye (C69),1993,N35_39,18,17,35
Eye (C69),1993,N40_44,24,22,46
Eye (C69),1993,N45_49,54,38,92
Eye (C69),1993,N50_54,54,48,102
Eye (C69),1993,N55_59,50,51,101
Eye (C69),1993,N60_64,64,72,136
Eye (C69),1993,N65_69,85,71,156
Eye (C69),1993,N70_74,68,77,145
Eye (C69),1993,N75_79,45,54,99
Eye (C69),1993,N80_84,38,39,77
Eye (C69),1993,N85+,21,31,52
Eye (C69),1993,N_UNK,1,0,1
Eye (C69),1994,N0_4,47,49,96
Eye (C69),1994,N5_9,5,7,12
Eye (C69),1994,N10_14,3,2,5
Eye (C69),1994,N15_19,1,2,3
Eye (C69),1994,N20_24,4,6,10
Eye (C69),1994,N25_29,10,8,18
Eye (C69),1994,N30_34,13,6,19
Eye (C69),1994,N35_39,12,15,27
Eye (C69),1994,N40_44,30,15,45
Eye (C69),1994,N45_49,36,41,77
Eye (C69),1994,N50_54,36,38,74
Eye (C69),1994,N55_59,64,58,122
Eye (C69),1994,N60_64,67,61,128
Eye (C69),1994,N65_69,83,66,149
Eye (C69),1994,N70_74,86,81,167
Eye (C69),1994,N75_79,48,48,96
Eye (C69),1994,N80_84,35,43,78
Eye (C69),1994,N85+,15,28,43
Eye (C69),1994,N_UNK,0,0,0
Eye (C69),1995,N0_4,49,57,106
Eye (C69),1995,N5_9,6,1,7
Eye (C69),1995,N10_14,4,2,6
Eye (C69),1995,N15_19,1,5,6
Eye (C69),1995,N20_24,9,4,13
Eye (C69),1995,N25_29,14,6,20
Eye (C69),1995,N30_34,10,15,25
Eye (C69),1995,N35_39,13,10,23
Eye (C69),1995,N40_44,34,24,58
Eye (C69),1995,N45_49,48,42,90
Eye (C69),1995,N50_54,45,38,83
Eye (C69),1995,N55_59,76,62,138
Eye (C69),1995,N60_64,82,85,167
Eye (C69),1995,N65_69,91,79,170
Eye (C69),1995,N70_74,69,82,151
Eye (C69),1995,N75_79,61,54,115
Eye (C69),1995,N80_84,41,41,82
Eye (C69),1995,N85+,21,29,50
Eye (C69),1995,N_UNK,0,0,0
Eye (C69),1996,N0_4,42,45,87
Eye (C69),1996,N5_9,7,3,10
Eye (C69),1996,N10_14,3,0,3
Eye (C69),1996,N15_19,1,3,4
Eye (C69),1996,N20_24,3,2,5
Eye (C69),1996,N25_29,12,7,19
Eye (C69),1996,N30_34,18,12,30
Eye (C69),1996,N35_39,9,17,26
Eye (C69),1996,N40_44,27,28,55
Eye (C69),1996,N45_49,36,40,76
Eye (C69),1996,N50_54,58,44,102
Eye (C69),1996,N55_59,53,60,113
Eye (C69),1996,N60_64,85,61,146
Eye (C69),1996,N65_69,90,80,170
Eye (C69),1996,N70_74,84,82,166
Eye (C69),1996,N75_79,57,65,122
Eye (C69),1996,N80_84,33,47,80
Eye (C69),1996,N85+,25,20,45
Eye (C69),1996,N_UNK,0,0,0
Eye (C69),1997,N0_4,44,40,84
Eye (C69),1997,N5_9,7,5,12
Eye (C69),1997,N10_14,3,1,4
Eye (C69),1997,N15_19,2,2,4
Eye (C69),1997,N20_24,3,7,10
Eye (C69),1997,N25_29,6,9,15
Eye (C69),1997,N30_34,9,17,26
Eye (C69),1997,N35_39,15,19,34
Eye (C69),1997,N40_44,27,21,48
Eye (C69),1997,N45_49,43,51,94
Eye (C69),1997,N50_54,64,62,126
Eye (C69),1997,N55_59,69,47,116
Eye (C69),1997,N60_64,82,70,152
Eye (C69),1997,N65_69,74,82,156
Eye (C69),1997,N70_74,81,93,174
Eye (C69),1997,N75_79,63,78,141
Eye (C69),1997,N80_84,37,51,88
Eye (C69),1997,N85+,20,38,58
Eye (C69),1997,N_UNK,0,0,0
Eye (C69),1998,N0_4,50,34,84
Eye (C69),1998,N5_9,8,4,12
Eye (C69),1998,N10_14,1,4,5
Eye (C69),1998,N15_19,0,5,5
Eye (C69),1998,N20_24,3,4,7
Eye (C69),1998,N25_29,8,4,12
Eye (C69),1998,N30_34,21,19,40
Eye (C69),1998,N35_39,15,25,40
Eye (C69),1998,N40_44,28,43,71
Eye (C69),1998,N45_49,50,44,94
Eye (C69),1998,N50_54,64,40,104
Eye (C69),1998,N55_59,95,51,146
Eye (C69),1998,N60_64,87,60,147
Eye (C69),1998,N65_69,93,76,169
Eye (C69),1998,N70_74,73,81,154
Eye (C69),1998,N75_79,53,65,118
Eye (C69),1998,N80_84,48,38,86
Eye (C69),1998,N85+,21,45,66
Eye (C69),1998,N_UNK,0,0,0
Eye (C69),1999,N0_4,40,45,85
Eye (C69),1999,N5_9,5,5,10
Eye (C69),1999,N10_14,5,1,6
Eye (C69),1999,N15_19,2,3,5
Eye (C69),1999,N20_24,5,2,7
Eye (C69),1999,N25_29,8,6,14
Eye (C69),1999,N30_34,14,19,33
Eye (C69),1999,N35_39,21,22,43
Eye (C69),1999,N40_44,34,22,56
Eye (C69),1999,N45_49,47,41,88
Eye (C69),1999,N50_54,67,63,130
Eye (C69),1999,N55_59,73,69,142
Eye (C69),1999,N60_64,61,80,141
Eye (C69),1999,N65_69,98,91,189
Eye (C69),1999,N70_74,86,91,177
Eye (C69),1999,N75_79,61,81,142
Eye (C69),1999,N80_84,22,45,67
Eye (C69),1999,N85+,22,39,61
Eye (C69),1999,N_UNK,0,0,0
Eye (C69),2000,N0_4,53,44,97
Eye (C69),2000,N5_9,8,4,12
Eye (C69),2000,N10_14,2,5,7
Eye (C69),2000,N15_19,1,4,5
Eye (C69),2000,N20_24,4,1,5
Eye (C69),2000,N25_29,6,9,15
Eye (C69),2000,N30_34,13,17,30
Eye (C69),2000,N35_39,19,27,46
Eye (C69),2000,N40_44,34,29,63
Eye (C69),2000,N45_49,51,44,95
Eye (C69),2000,N50_54,56,61,117
Eye (C69),2000,N55_59,84,56,140
Eye (C69),2000,N60_64,101,97,198
Eye (C69),2000,N65_69,101,85,186
Eye (C69),2000,N70_74,94,102,196
Eye (C69),2000,N75_79,60,96,156
Eye (C69),2000,N80_84,33,52,85
Eye (C69),2000,N85+,28,39,67
Eye (C69),2000,N_UNK,0,0,0
Eye (C69),2001,N0_4,49,41,90
Eye (C69),2001,N5_9,7,5,12
Eye (C69),2001,N10_14,2,2,4
Eye (C69),2001,N15_19,1,2,3
Eye (C69),2001,N20_24,3,1,4
Eye (C69),2001,N25_29,9,6,15
Eye (C69),2001,N30_34,13,8,21
Eye (C69),2001,N35_39,16,23,39
Eye (C69),2001,N40_44,29,17,46
Eye (C69),2001,N45_49,45,43,88
Eye (C69),2001,N50_54,63,64,127
Eye (C69),2001,N55_59,70,66,136
Eye (C69),2001,N60_64,77,74,151
Eye (C69),2001,N65_69,92,80,172
Eye (C69),2001,N70_74,108,90,198
Eye (C69),2001,N75_79,69,73,142
Eye (C69),2001,N80_84,44,50,94
Eye (C69),2001,N85+,23,35,58
Eye (C69),2001,N_UNK,0,0,0
Eye (C69),2002,N0_4,57,55,112
Eye (C69),2002,N5_9,6,9,15
Eye (C69),2002,N10_14,3,0,3
Eye (C69),2002,N15_19,7,2,9
Eye (C69),2002,N20_24,6,4,10
Eye (C69),2002,N25_29,8,7,15
Eye (C69),2002,N30_34,16,12,28
Eye (C69),2002,N35_39,25,20,45
Eye (C69),2002,N40_44,28,32,60
Eye (C69),2002,N45_49,57,32,89
Eye (C69),2002,N50_54,58,56,114
Eye (C69),2002,N55_59,90,55,145
Eye (C69),2002,N60_64,84,79,163
Eye (C69),2002,N65_69,85,80,165
Eye (C69),2002,N70_74,91,74,165
Eye (C69),2002,N75_79,65,85,150
Eye (C69),2002,N80_84,42,55,97
Eye (C69),2002,N85+,24,45,69
Eye (C69),2002,N_UNK,0,0,0
Eye (C69),2003,N0_4,51,49,100
Eye (C69),2003,N5_9,3,10,13
Eye (C69),2003,N10_14,4,1,5
Eye (C69),2003,N15_19,1,3,4
Eye (C69),2003,N20_24,4,7,11
Eye (C69),2003,N25_29,4,5,9
Eye (C69),2003,N30_34,11,10,21
Eye (C69),2003,N35_39,22,21,43
Eye (C69),2003,N40_44,39,40,79
Eye (C69),2003,N45_49,39,44,83
Eye (C69),2003,N50_54,73,64,137
Eye (C69),2003,N55_59,69,65,134
Eye (C69),2003,N60_64,103,87,190
Eye (C69),2003,N65_69,102,89,191
Eye (C69),2003,N70_74,102,91,193
Eye (C69),2003,N75_79,83,89,172
Eye (C69),2003,N80_84,56,64,120
Eye (C69),2003,N85+,22,52,74
Eye (C69),2003,N_UNK,0,0,0
Eye (C69),2004,N0_4,48,53,101
Eye (C69),2004,N5_9,4,8,12
Eye (C69),2004,N10_14,5,7,12
Eye (C69),2004,N15_19,3,1,4
